osmid,y,x
583406698,29.6485129,-82.3448504
610102050,29.6473047,-82.340854
610102052,29.6482975,-82.3409887
610104180,29.6449091,-82.3537976
1021352993,29.6410904,-82.3433961
1277919001,29.635491,-82.3672514
1280386255,29.6472857,-82.3423531
1280386256,29.6469892,-82.34279
1280389704,29.6406003,-82.3641833
1329906222,29.6468752,-82.349267
1329906226,29.6482844,-82.3521242
1329906230,29.6442677,-82.3498249
1329906246,29.6471862,-82.3499019
1329906248,29.6464047,-82.3503221
1329906250,29.6479632,-82.3493131
1385016997,29.6376197,-82.3684102
1385017051,29.6374633,-82.3650847
1385017055,29.6376195,-82.3679193
1489911072,29.6443355,-82.3504108
1635718323,29.6487343,-82.3442538
1635718368,29.649075,-82.3442875
1636559147,29.6432681,-82.3499297
1636758167,29.6366184,-82.3541927
1636758201,29.6396332,-82.3484361
1636758221,29.6406413,-82.3461265
1636758280,29.6436417,-82.3507216
1636758299,29.6462774,-82.3502081
1636758408,29.6518496,-82.3470981
1636938060,29.6428861,-82.3468339
1636938065,29.6429071,-82.3470005
1636938069,29.6429462,-82.3468508
1636938077,29.6430983,-82.3477274
1636938120,29.6433454,-82.3460615
1637280150,29.641596,-82.3437438
1637280177,29.6465619,-82.3460552
1637280188,29.6466685,-82.3486332
1637280190,29.6466963,-82.3413788
1637280195,29.6467266,-82.3416445
1637280233,29.6470473,-82.3472893
1637280236,29.6470517,-82.3473035
1637280249,29.6471135,-82.3456239
1637280252,29.6471263,-82.347218
1637280254,29.6471487,-82.3456448
1637280259,29.6471541,-82.3472964
1637280261,29.6471569,-82.3472818
1637280264,29.6473344,-82.3457551
1637280265,29.6473603,-82.3451301
1637280273,29.6474233,-82.3472731
1637280306,29.6479202,-82.3478231
1637282974,29.6476359,-82.3459372
1637282975,29.6476367,-82.3459747
1637282982,29.6476628,-82.3460005
1637282983,29.6476703,-82.3459037
1637282992,29.6477139,-82.3459807
1637282998,29.6479861,-82.3452884
1637283002,29.6480669,-82.3451085
1637283005,29.6481198,-82.3449929
1637297213,29.6452462,-82.3469883
1637297221,29.6456704,-82.3466497
1637297229,29.6457412,-82.346202
1637297243,29.6460066,-82.3453561
1637297255,29.6460983,-82.3446804
1637297317,29.6462223,-82.346204
1637297338,29.646373,-82.3454948
1637297345,29.6464073,-82.3449408
1637297365,29.646416,-82.3454971
1637297371,29.6464471,-82.3454399
1637297411,29.6465963,-82.3445762
1637297432,29.6471013,-82.34495
1637297439,29.6485007,-82.3513106
1637323093,29.6480754,-82.3440896
1637323153,29.6484975,-82.3441669
1637336087,29.6465145,-82.3417943
1637869182,29.6442036,-82.3536014
1637869186,29.6442329,-82.3533965
1637869200,29.6442579,-82.3537299
1637869317,29.6449457,-82.3515662
1637869327,29.6452228,-82.3515927
1637869335,29.6454794,-82.3512917
1637869342,29.6457138,-82.35133
1637869362,29.6460599,-82.3510623
1637869398,29.6466427,-82.3511817
1637869408,29.6468127,-82.3580518
1637869420,29.6471445,-82.3507968
1637869456,29.6485531,-82.3565809
1637881762,29.6451281,-82.35304
1637881773,29.6453071,-82.351881
1637881776,29.6453359,-82.35383
1637881782,29.6455078,-82.3537403
1637881796,29.6458532,-82.3554093
1637881822,29.6483933,-82.3457291
1637897988,29.6456007,-82.3486545
1637898002,29.6456245,-82.3509851
1637898022,29.6456979,-82.3512633
1637898037,29.6458014,-82.3504366
1637898053,29.6459088,-82.3502675
1637898124,29.6461049,-82.3487156
1637898139,29.6462032,-82.3483227
1637898158,29.6462869,-82.3482982
1638150265,29.6400932,-82.3420209
1638150267,29.6401181,-82.341967
1638150285,29.6403628,-82.3412574
1638150294,29.6404717,-82.3412698
1638150298,29.6405151,-82.3410496
1638150315,29.6407478,-82.3411719
1638150341,29.6409573,-82.341286
1638150345,29.6409922,-82.3414167
1638150360,29.6410017,-82.3410923
1639426115,29.6413848,-82.3427127
1801870535,29.6412151,-82.3507302
1801870536,29.6415845,-82.3507177
1801870538,29.6412226,-82.351197
1801870540,29.6427497,-82.3504382
1801870544,29.6426897,-82.3518188
1801870546,29.6412845,-82.3516634
1801870547,29.6412788,-82.3515204
1801870548,29.641287,-82.3518186
1801870549,29.6413568,-82.3520329
1801870550,29.6414179,-82.3522456
1801870551,29.6415741,-82.3504529
1801870552,29.6427769,-82.3518148
1801870556,29.6412176,-82.3508831
1801870557,29.6418554,-82.3518155
1801870559,29.641225,-82.3513497
1801870561,29.6412201,-82.3510387
1801870562,29.6417614,-82.3504506
2071400739,29.650385,-82.3510479
2089578804,29.6485773,-82.3394632
2189034902,29.6476507,-82.3412414
2294943750,29.6467657,-82.3429246
2294943752,29.6464143,-82.3426355
2294943755,29.6461286,-82.3425905
2294943758,29.6472834,-82.3420959
2653866971,29.6460379,-82.3618401
2653867007,29.6456231,-82.3616485
2653867030,29.6459803,-82.3618673
2653867032,29.6456255,-82.3612269
2653867040,29.6472593,-82.362328
2653867043,29.6457065,-82.3620973
2653867045,29.6457542,-82.3623139
2653867047,29.6456301,-82.3618463
2653867053,29.6451509,-82.3612152
2653867073,29.6454295,-82.3623114
2653867085,29.6477888,-82.3533914
2653867086,29.6455886,-82.3618624
2653867090,29.6451381,-82.3617775
2653867092,29.6460436,-82.3612348
2653867094,29.6456664,-82.3621154
2653872033,29.6504105,-82.3502855
2653872037,29.6517665,-82.349882
2653872038,29.6515681,-82.3518088
2653872040,29.6502304,-82.3505879
2653872041,29.650872,-82.3498973
