u,v,key,length
1280389704,84942176,0,158.87561087643172
1329906222,4338442444,0,108.69031710796503
1329906222,8025626366,0,16.7227911900834
1329906222,8025639518,0,59.91842567925244
1329906226,4272413052,0,7.450697338735503
1329906230,582413744,0,2.236712919241202
1329906246,2838529029,0,16.93116368273251
1329906246,3980487887,0,11.68207751938328
1329906246,1329906248,0,95.91873432104147
1329906248,10000759472,0,6.531902563021361
1329906248,10000759472,1,6.531902563021361
1329906248,84752961,0,54.86499709071791
1329906248,1329906246,0,95.91873432104147
1329906250,7996007984,0,14.757764700476041
1329906250,4338492043,0,31.652929939476376
1329906250,4338442444,0,12.404581179812032
1385016997,1385017055,0,47.444252350628574
1385016997,4255604522,0,7.4434839338712715
1385016997,4255604490,0,7.628080705923443
1385016997,2654220266,0,10.041032342870384
1385017051,9732751170,0,18.33730206351266
1385017051,4255604461,0,7.809160048351789
1385017051,7996463048,0,9.011783563585468
1385017055,1385016997,0,47.444252350628574
1385017055,4255604492,0,7.472409630072062
1385017055,2654220656,0,84.46199890567328
1489911072,9242151165,0,49.77365531746508
1489911072,2838529288,0,12.361861814479736
1489911072,1801870540,0,176.35304497091454
1635718323,11253961574,0,10.998420788054514
1635718368,11253961590,0,5.354585325830747
1636559147,4249725439,0,172.57999552218482
1636758167,8090258360,0,5.815587796482198
1636758167,6214671550,0,13.906051205485316
1636758167,8086583944,0,57.86765206291987
1636758201,84869344,0,7.561870613201902
1636758201,10033902861,0,5.75586878647072
1636758201,4259619514,0,40.732746011009695
1636758221,8054030969,0,7.546670421972509
1636758221,10082364625,0,7.092038071065342
1636758221,84909934,0,104.3476596086849
1636758280,8063958747,0,9.381945372233135
1636758299,2838529127,0,7.455467660373787
1636758408,8001035854,0,4.470303488036378
1636758408,5594000948,0,68.93885744208528
1636758408,8001035875,0,7.909037820226004
1636758408,2977586310,0,9.616226217146052
1636938060,1636938069,0,6.8795109156520695
1636938060,4249725469,0,6.3783459005041765
1636938060,3874849751,0,139.42478989371958
1636938065,4423995102,0,4.106876886430095
1636938065,1636938077,0,73.3959978871365
1636938065,1636938069,0,15.1065345684674
1636938065,4249725474,0,19.039735637989583
1636938069,1636938060,0,6.8795109156520695
1636938069,6135169164,0,15.8390767056545
1636938069,1636938065,0,15.1065345684674
1636938077,1636938065,0,73.3959978871365
1636938120,4249725469,0,84.21559627330693
1637280150,10082349152,0,7.602268953927354
1637280150,10082349149,0,10.8007386680837
1637280150,10082349139,0,35.993869360127185
1637280177,8041384201,0,14.937443428968777
1637280177,2977630808,0,30.453828669940037
1637280177,4741954094,0,18.28782597741094
1637280177,4741954093,0,16.88044727592827
1637280177,6492412692,0,20.629347004928537
